UF;Município;Cargo;Candidato;Nr;Partido;Situação;VotaçãoNominal
MG;CAMPO DO MEIO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;2667,00 
MG;CAMPO FLORIDO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1444,00 
MG;CAMPO FLORIDO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1787,00 
MG;CAMPOS ALTOS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;3476,00 
MG;CAMPOS ALTOS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;3784,00 
MG;CAMPOS GERAIS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;6835,00 
MG;CAMPOS GERAIS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;7857,00 
MG;CANA VERDE;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2149,00 
MG;CANA VERDE;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1385,00 
MG;CANAÃ;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;701,00 
MG;CANAÃ;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2327,00 
MG;CANÁPOLIS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;2586,00 
MG;CANÁPOLIS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;4203,00 
MG;CANDEIAS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;3940,00 
MG;CANDEIAS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;5036,00 
MG;CANTAGALO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1391,00 
MG;CANTAGALO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;786,00 
MG;CAPARAÓ;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1219,00 
MG;CAPARAÓ;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1726,00 
MG;CAPELA NOVA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1716,00 
MG;CAPELA NOVA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1273,00 
MG;CAPELINHA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;9240,00 
MG;CAPELINHA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;6143,00 
MG;CAPETINGA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2099,00 
MG;CAPETINGA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;2193,00 
MG;CAPIM BRANCO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2923,00 
MG;CAPIM BRANCO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;2404,00 
MG;CAPINÓPOLIS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;3246,00 
MG;CAPINÓPOLIS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;5420,00 
MG;CAPITÃO ANDRADE;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1205,00 
MG;CAPITÃO ANDRADE;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1572,00 
MG;CAPITÃO ENÉAS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;5790,00 
MG;CAPITÃO ENÉAS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1910,00 
MG;CAPITÓLIO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;3044,00 
MG;CAPITÓLIO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;2012,00 
MG;CAPUTIRA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;2246,00 
MG;CAPUTIRA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;3110,00 
MG;CARAÍ;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1249,00 
MG;CARAÍ;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;7137,00 
MG;CARANAÍBA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;992,00 
MG;CARANAÍBA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1219,00 
MG;CARANDAÍ;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;5577,00 
MG;CARANDAÍ;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;8606,00 
MG;CARANGOLA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;10513,00 
MG;CARANGOLA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;7224,00 
MG;CARATINGA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;22053,00 
MG;CARATINGA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;20828,00 
MG;CARBONITA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;2010,00 
MG;CARBONITA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;3023,00 
MG;CAREAÇU;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1740,00 
MG;CAREAÇU;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1867,00 
MG;CARLOS CHAGAS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;6100,00 
MG;CARLOS CHAGAS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;4232,00 
MG;CARMÉSIA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;395,00 
MG;CARMÉSIA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1045,00 
MG;CARMO DA CACHOEIRA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;2880,00 
MG;CARMO DA CACHOEIRA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;3849,00 
MG;CARMO DA MATA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;4104,00 
MG;CARMO DA MATA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;2963,00 
MG;CARMO DE MINAS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;4254,00 
MG;CARMO DE MINAS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2796,00 
MG;CARMO DO CAJURU;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;5674,00 
MG;CARMO DO CAJURU;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;6602,00 
MG;CARMO DO PARANAÍBA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;8486,00 
MG;CARMO DO PARANAÍBA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;6857,00 
MG;CARMO DO RIO CLARO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;4912,00 
MG;CARMO DO RIO CLARO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;6572,00 
MG;CARMÓPOLIS DE MINAS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;3839,00 
MG;CARMÓPOLIS DE MINAS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;5546,00 
MG;CARNEIRINHO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;3839,00 
MG;CARNEIRINHO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1927,00 
MG;CARRANCAS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1234,00 
MG;CARRANCAS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1169,00 
MG;CARVALHÓPOLIS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1132,00 
MG;CARVALHÓPOLIS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1118,00 
MG;CARVALHOS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1458,00 
MG;CARVALHOS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1350,00 
MG;CASA GRANDE;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;885,00 
MG;CASA GRANDE;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;731,00 
MG;CASCALHO RICO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;926,00 
MG;CASCALHO RICO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1096,00 
MG;CÁSSIA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;5048,00 
MG;CÁSSIA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;5137,00 
MG;CATAGUASES;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;28407,00 
MG;CATAGUASES;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;11052,00 
MG;CATAS ALTAS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1810,00 
MG;CATAS ALTAS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1234,00 
MG;CATAS ALTAS DA NORUEGA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1619,00 
MG;CATAS ALTAS DA NORUEGA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;635,00 
MG;CATUJI;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1106,00 
MG;CATUJI;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;3320,00 
MG;CATUTI;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;560,00 
MG;CATUTI;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2336,00 
MG;CAXAMBU;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;5924,00 
MG;CAXAMBU;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;6978,00 
MG;CEDRO DO ABAETÉ;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;573,00 
MG;CEDRO DO ABAETÉ;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;269,00 
MG;CENTRAL DE MINAS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;2094,00 
MG;CENTRAL DE MINAS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2066,00 
MG;CENTRALINA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;3559,00 
MG;CENTRALINA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1625,00 
MG;CHÁCARA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1275,00 
MG;CHÁCARA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;608,00 
MG;CHALÉ;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1866,00 
MG;CHALÉ;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1490,00 
MG;CHAPADA DO NORTE;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;4785,00 
MG;CHAPADA DO NORTE;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;869,00 
MG;CHAPADA GAÚCHA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1001,00 
MG;CHAPADA GAÚCHA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;3403,00 
MG;CHIADOR;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1362,00 
MG;CHIADOR;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;762,00 
MG;CIPOTÂNEA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;958,00 
MG;CIPOTÂNEA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2325,00 
MG;CLARAVAL;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1294,00 
MG;CLARAVAL;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;2027,00 
MG;CLARO DOS POÇÕES;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;3548,00 
MG;CLARO DOS POÇÕES;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1318,00 
MG;CLÁUDIO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;7802,00 
MG;CLÁUDIO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;7184,00 
MG;COIMBRA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2817,00 
MG;COIMBRA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1892,00 
MG;COLUNA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;3045,00 
MG;COLUNA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1131,00 
MG;COMENDADOR GOMES;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;973,00 
MG;COMENDADOR GOMES;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;814,00 
MG;COMERCINHO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1022,00 
MG;COMERCINHO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;3368,00 
MG;CONCEIÇÃO DA APARECIDA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;3101,00 
MG;CONCEIÇÃO DA APARECIDA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;2559,00 
MG;CONCEIÇÃO DA BARRA DE MINAS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1325,00 
MG;CONCEIÇÃO DA BARRA DE MINAS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1344,00 
MG;CONCEIÇÃO DAS ALAGOAS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;4128,00 
MG;CONCEIÇÃO DAS ALAGOAS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;7970,00 
MG;CONCEIÇÃO DAS PEDRAS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;956,00 
MG;CONCEIÇÃO DAS PEDRAS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;940,00 
MG;CONCEIÇÃO DE IPANEMA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1072,00 
MG;CONCEIÇÃO DE IPANEMA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1860,00 
MG;CONCEIÇÃO DO MATO DENTRO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;6517,00 
MG;CONCEIÇÃO DO MATO DENTRO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;2127,00 
MG;CONCEIÇÃO DO PARÁ;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1807,00 
MG;CONCEIÇÃO DO PARÁ;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1550,00 
MG;CONCEIÇÃO DO RIO VERDE;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;4591,00 
MG;CONCEIÇÃO DO RIO VERDE;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2560,00 
MG;CONCEIÇÃO DOS OUROS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;3644,00 
MG;CONCEIÇÃO DOS OUROS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2632,00 
MG;CÔNEGO MARINHO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;553,00 
MG;CÔNEGO MARINHO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;3028,00 
MG;CONFINS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1452,00 
MG;CONFINS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2398,00 
MG;CONGONHAL;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2210,00 
MG;CONGONHAL;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;3726,00 
MG;CONGONHAS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;12189,00 
MG;CONGONHAS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;16009,00 
MG;CONGONHAS DO NORTE;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;366,00 
MG;CONGONHAS DO NORTE;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1911,00 
MG;CONQUISTA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;2022,00 
MG;CONQUISTA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1820,00 
MG;CONSELHEIRO LAFAIETE;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;22247,00 
MG;CONSELHEIRO LAFAIETE;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;44384,00 
MG;CONSELHEIRO PENA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;5492,00 
MG;CONSELHEIRO PENA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;6035,00 
MG;CONSOLAÇÃO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;671,00 
MG;CONSOLAÇÃO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;552,00 
MG;CONTAGEM;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;197480,00 
MG;CONTAGEM;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;111855,00 
MG;COQUEIRAL;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;3162,00 
MG;COQUEIRAL;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2190,00 
MG;CORAÇÃO DE JESUS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;2291,00 
MG;CORAÇÃO DE JESUS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;11470,00 
MG;CORDISBURGO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;3137,00 
MG;CORDISBURGO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1657,00 
MG;CORDISLÂNDIA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1104,00 
MG;CORDISLÂNDIA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1046,00 
MG;CORINTO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;9808,00 
MG;CORINTO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;3213,00 
MG;COROACI;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;2117,00 
MG;COROACI;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;3492,00 
MG;COROMANDEL;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;7664,00 
MG;COROMANDEL;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;8494,00 
MG;CORONEL FABRICIANO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;21773,00 
MG;CORONEL FABRICIANO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;34724,00 
MG;CORONEL MURTA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;3352,00 
MG;CORONEL MURTA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1354,00 
MG;CORONEL PACHECO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1311,00 
MG;CORONEL PACHECO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;516,00 
MG;CORONEL XAVIER CHAVES;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1152,00 
MG;CORONEL XAVIER CHAVES;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;943,00 
MG;CÓRREGO DANTA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1034,00 
MG;CÓRREGO DANTA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1049,00 
MG;CÓRREGO DO BOM JESUS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1241,00 
MG;CÓRREGO DO BOM JESUS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1385,00 
MG;CÓRREGO FUNDO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2350,00 
MG;CÓRREGO FUNDO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1413,00 
MG;CÓRREGO NOVO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1587,00 
MG;CÓRREGO NOVO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;544,00 
MG;COUTO DE MAGALHÃES DE MINAS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;484,00 
MG;COUTO DE MAGALHÃES DE MINAS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1901,00 
MG;CRISÓLITA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2120,00 
MG;CRISÓLITA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;717,00 
MG;CRISTAIS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;4003,00 
MG;CRISTAIS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;2009,00 
MG;CRISTÁLIA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;568,00 
MG;CRISTÁLIA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2306,00 
MG;CRISTIANO OTONI;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1424,00 
MG;CRISTIANO OTONI;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1718,00 
MG;CRISTINA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2110,00 
MG;CRISTINA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;3688,00 
MG;CRUCILÂNDIA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1769,00 
MG;CRUCILÂNDIA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1553,00 
MG;CRUZEIRO DA FORTALEZA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1364,00 
MG;CRUZEIRO DA FORTALEZA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1201,00 
MG;CRUZÍLIA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;4496,00 
MG;CRUZÍLIA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;4401,00 
MG;CUPARAQUE;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1359,00 
MG;CUPARAQUE;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1407,00 
MG;CURRAL DE DENTRO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1546,00 
MG;CURRAL DE DENTRO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2278,00 
MG;CURVELO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;16587,00 
MG;CURVELO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;24263,00 
MG;DATAS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;561,00 
MG;DATAS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2429,00 
MG;DELFIM MOREIRA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;3004,00 
MG;DELFIM MOREIRA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1908,00 
MG;DELFINÓPOLIS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2267,00 
MG;DELFINÓPOLIS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1833,00 
MG;DELTA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2519,00 
MG;DELTA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;815,00 
MG;DESCOBERTO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1885,00 
MG;DESCOBERTO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1480,00 
MG;DESTERRO DE ENTRE RIOS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;2244,00 
MG;DESTERRO DE ENTRE RIOS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1953,00 
MG;DESTERRO DO MELO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;976,00 
MG;DESTERRO DO MELO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1286,00 
MG;DIAMANTINA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;16084,00 
MG;DIAMANTINA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;6985,00 
MG;DIOGO DE VASCONCELOS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1919,00 
MG;DIOGO DE VASCONCELOS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;458,00 
MG;DIONÍSIO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1468,00 
MG;DIONÍSIO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;3244,00 
MG;DIVINÉSIA;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1747,00 
MG;DIVINÉSIA;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;816,00 
MG;DIVINO;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;6760,00 
MG;DIVINO;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;3519,00 
MG;DIVINO DAS LARANJEIRAS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;1557,00 
MG;DIVINO DAS LARANJEIRAS;PRESIDENTE;JOSÉ SERRA;45;PSDB;NÃO ELEITO;1235,00 
MG;DIVINOLÂNDIA DE MINAS;PRESIDENTE;DILMA VANA ROUSSEFF;13;PT;ELEITO;2484,00 
